City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kieta,PG,2022-07-05 16:58:52,-6.2167,155.6333,79.02,82,100,2.62
1,Ulladulla,AU,2022-07-05 16:58:53,-35.35,150.4667,55.36,83,98,9.17
2,Vaini,TO,2022-07-05 16:58:53,-21.2,-175.2,69.96,73,20,8.05
3,Mungwi,ZM,2022-07-05 16:58:53,-10.1732,31.3694,59.68,47,2,5.03
4,Kapaa,US,2022-07-05 16:58:54,22.0752,-159.319,75.52,87,40,18.41
5,Urucui,BR,2022-07-05 16:58:54,-7.2294,-44.5561,94.05,29,7,10.25
6,Khatanga,RU,2022-07-05 16:58:55,71.9667,102.5,55.06,50,100,2.86
7,Tuatapere,NZ,2022-07-05 16:58:55,-46.1333,167.6833,42.1,77,66,10.0
8,Castro,BR,2022-07-05 16:58:55,-24.7911,-50.0119,70.48,46,78,7.16
9,Asau,RO,2022-07-05 16:58:56,46.4333,26.4,87.28,48,51,0.4
10,Hervey Bay,AU,2022-07-05 16:58:56,-25.2986,152.8535,55.02,96,100,11.99
11,Berlevag,NO,2022-07-05 16:54:16,70.8578,29.0864,62.4,87,100,17.27
12,Ancud,CL,2022-07-05 16:58:57,-41.8697,-73.8203,44.22,76,100,17.92
13,Tasiilaq,GL,2022-07-05 16:58:58,65.6145,-37.6368,39.58,80,77,1.52
14,New Norfolk,AU,2022-07-05 16:58:58,-42.7826,147.0587,43.72,88,77,2.08
15,Arraial Do Cabo,BR,2022-07-05 16:58:58,-22.9661,-42.0278,85.96,42,0,12.66
16,Talnakh,RU,2022-07-05 16:58:59,69.4865,88.3972,56.21,51,54,6.08
17,Punta Arenas,CL,2022-07-05 16:55:48,-53.15,-70.9167,32.02,100,75,5.75
18,Kiunga,PG,2022-07-05 16:59:00,-6.1219,141.2906,72.88,100,100,1.01
19,Bengkulu,ID,2022-07-05 16:59:00,-3.8004,102.2655,77.23,89,100,2.84
20,Mataura,NZ,2022-07-05 16:59:01,-46.1927,168.8643,45.48,72,63,9.13
21,Kaputa,ZM,2022-07-05 16:59:02,-8.4689,29.6619,70.48,43,29,4.23
22,Busselton,AU,2022-07-05 16:54:03,-33.65,115.3333,52.79,66,81,9.17
23,Ushuaia,AR,2022-07-05 16:59:02,-54.8,-68.3,33.46,75,20,4.61
24,Victoria,HK,2022-07-05 16:56:15,22.2855,114.1577,84.33,89,100,5.99
25,Sorland,NO,2022-07-05 16:59:03,67.667,12.6934,53.46,85,100,25.03
26,Cidreira,BR,2022-07-05 16:59:04,-30.1811,-50.2056,69.3,79,78,6.35
27,Bluff,NZ,2022-07-05 16:59:04,-46.6,168.3333,45.81,65,95,23.62
28,Mount Isa,AU,2022-07-05 16:59:04,-20.7333,139.5,42.57,100,58,3.44
29,Sao Filipe,CV,2022-07-05 16:59:05,14.8961,-24.4956,75.63,81,42,6.17
30,Kendrapara,IN,2022-07-05 16:59:05,20.5042,86.416,82.38,82,100,5.12
31,Hobart,AU,2022-07-05 16:59:06,-42.8794,147.3294,44.06,95,75,9.22
32,Barrow,US,2022-07-05 16:59:06,71.2906,-156.7887,37.42,93,100,4.61
33,El Alto,PE,2022-07-05 16:59:07,-4.2714,-81.2147,69.46,62,9,14.56
34,Mahanoro,MG,2022-07-05 16:59:07,-19.9,48.8,67.55,75,2,1.52
35,Hermanus,ZA,2022-07-05 16:59:08,-34.4187,19.2345,52.81,72,9,0.94
36,Majene,ID,2022-07-05 16:59:08,-3.5403,118.9707,78.17,88,87,7.83
37,Severo-Kurilsk,RU,2022-07-05 16:59:09,50.6789,156.125,50.63,77,55,9.19
38,Rikitea,PF,2022-07-05 16:59:09,-23.1203,-134.9692,76.21,74,40,14.81
39,Puerto Ayora,EC,2022-07-05 16:59:09,-0.7393,-90.3518,76.96,87,81,10.0
40,Carnarvon,AU,2022-07-05 16:59:10,-24.8667,113.6333,65.23,45,0,8.75
41,Mayumba,GA,2022-07-05 16:59:10,-3.432,10.6554,71.8,82,10,8.72
42,Chokurdakh,RU,2022-07-05 16:59:11,70.6333,147.9167,40.35,75,100,18.95
43,Chuy,UY,2022-07-05 16:59:11,-33.6971,-53.4616,59.0,81,95,9.33
44,Kaitangata,NZ,2022-07-05 16:59:12,-46.2817,169.8464,44.56,68,28,14.85
45,Harper,LR,2022-07-05 16:59:13,4.375,-7.7169,78.58,77,82,9.89
46,East London,ZA,2022-07-05 16:59:14,-33.0153,27.9116,59.94,88,0,3.44
47,Maldonado,UY,2022-07-05 16:59:14,-34.6667,-54.9167,56.59,69,27,7.18
48,San Patricio,US,2022-07-05 16:59:14,28.017,-97.5169,94.15,46,11,15.21
49,George Town,MY,2022-07-05 16:56:31,5.4112,100.3354,82.89,85,40,0.0
50,Norman Wells,CA,2022-07-05 16:59:15,65.282,-126.8329,68.04,52,75,9.22
51,Coruripe,BR,2022-07-05 16:59:15,-10.1256,-36.1756,78.21,74,21,13.24
52,Upernavik,GL,2022-07-05 16:59:16,72.7868,-56.1549,39.09,87,53,8.75
53,Norwalk,US,2022-07-05 16:59:16,33.9022,-118.0817,76.01,66,40,1.99
54,Grindavik,IS,2022-07-05 16:59:17,63.8424,-22.4338,58.95,87,100,5.75
55,Sokoto,NG,2022-07-05 16:59:17,13.0609,5.239,94.86,33,70,3.49
56,Hay River,CA,2022-07-05 16:59:18,60.8156,-115.7999,71.58,30,40,11.5
57,Araouane,ML,2022-07-05 16:59:18,18.9048,-3.5265,109.81,7,22,8.05
58,Monte Alegre,BR,2022-07-05 16:59:19,-2.0078,-54.0692,85.69,63,34,3.78
59,Sinnamary,GF,2022-07-05 16:59:19,5.3833,-52.95,82.51,75,29,6.78
60,Port Alfred,ZA,2022-07-05 16:59:19,-33.5906,26.891,58.17,92,95,1.99
61,Dubbo,AU,2022-07-05 16:59:20,-32.25,148.6167,51.93,87,100,6.91
62,Flin Flon,CA,2022-07-05 16:59:20,54.7682,-101.865,66.04,42,40,6.91
63,Pangnirtung,CA,2022-07-05 16:59:21,66.1451,-65.7125,48.2,76,75,12.66
64,Xuanhua,CN,2022-07-05 16:59:21,40.6103,115.0447,67.39,82,100,1.83
65,Dhrangadhra,IN,2022-07-05 16:59:22,22.9833,71.4667,84.22,78,100,14.65
66,Vanimo,PG,2022-07-05 16:59:22,-2.6741,141.3028,78.96,83,100,2.68
67,Port Elizabeth,ZA,2022-07-05 16:59:23,-33.918,25.5701,61.32,88,20,10.36
68,Marawi,PH,2022-07-05 16:59:23,7.9986,124.2928,69.28,95,100,3.02
69,Jaru,BR,2022-07-05 16:59:23,-10.4389,-62.4664,92.32,34,53,5.17
70,Yellowknife,CA,2022-07-05 16:54:57,62.456,-114.3525,68.56,45,25,4.0
71,Baruun-Urt,MN,2022-07-05 16:59:25,46.6806,113.2792,60.48,79,93,8.48
72,Albany,US,2022-07-05 16:57:14,42.6001,-73.9662,76.95,69,100,5.06
73,Gorontalo,ID,2022-07-05 16:59:26,0.5412,123.0595,74.1,92,100,1.83
74,Zhezkazgan,KZ,2022-07-05 16:59:26,47.8043,67.7144,67.1,45,79,5.21
75,Deputatskiy,RU,2022-07-05 16:59:26,69.3,139.9,38.79,75,89,5.3
76,Sur,OM,2022-07-05 16:59:27,22.5667,59.5289,86.27,74,100,11.88
77,Marystown,CA,2022-07-05 16:59:27,47.1666,-55.1483,65.86,100,15,3.0
78,Avarua,CK,2022-07-05 16:59:28,-21.2078,-159.775,73.45,64,40,9.22
79,Lorengau,PG,2022-07-05 16:59:28,-2.0226,147.2712,80.92,78,99,3.91
80,Yar-Sale,RU,2022-07-05 16:59:29,66.8333,70.8333,54.21,96,100,3.78
81,Dunedin,NZ,2022-07-05 16:59:29,-45.8742,170.5036,45.81,57,16,17.0
82,Bilozerka,UA,2022-07-05 16:59:29,46.6248,32.4425,80.83,43,38,10.63
83,Mount Gambier,AU,2022-07-05 16:59:30,-37.8333,140.7667,39.11,93,100,6.91
84,Shingu,JP,2022-07-05 16:59:12,33.7333,135.9833,76.26,95,95,4.34
85,Butaritari,KI,2022-07-05 16:59:31,3.0707,172.7902,82.65,76,85,22.35
86,Faanui,PF,2022-07-05 16:59:31,-16.4833,-151.75,79.39,75,24,17.6
87,Saskylakh,RU,2022-07-05 16:59:32,71.9167,114.0833,47.77,95,100,4.0
88,Honiara,SB,2022-07-05 16:59:32,-9.4333,159.95,77.25,88,95,9.28
89,Salalah,OM,2022-07-05 16:59:34,17.0151,54.0924,79.7,90,100,8.43
90,Gimli,CA,2022-07-05 16:57:22,50.6336,-96.9907,64.8,74,73,8.43
91,Nong Chik,TH,2022-07-05 16:59:34,6.8436,101.178,78.64,79,83,6.44
92,Teya,RU,2022-07-05 16:59:35,60.3778,92.6267,57.42,75,89,2.95
93,Ribeira Grande,PT,2022-07-05 16:59:36,38.5167,-28.7,72.0,64,40,11.5
94,Thompson,CA,2022-07-05 16:59:36,55.7435,-97.8558,66.36,42,40,5.75
95,Fertod,HU,2022-07-05 16:59:37,47.6195,16.8868,74.12,78,100,14.29
96,Hailey,US,2022-07-05 16:59:37,43.5196,-114.3153,74.98,37,87,3.44
97,Boden,SE,2022-07-05 16:59:38,65.8252,21.6886,64.4,82,31,10.07
98,Abha,SA,2022-07-05 16:59:38,18.2164,42.5053,73.65,38,75,11.5
99,Bambous Virieux,MU,2022-07-05 16:59:38,-20.3428,57.7575,70.05,64,75,9.22
100,Mar Del Plata,AR,2022-07-05 16:55:32,-38.0023,-57.5575,57.22,30,0,5.75
101,Faget,RO,2022-07-05 16:59:39,45.85,22.1833,86.31,32,66,8.97
102,Agadir,MA,2022-07-05 16:59:40,30.4202,-9.5982,84.65,52,29,4.94
103,Bathsheba,BB,2022-07-05 16:59:40,13.2167,-59.5167,88.41,81,20,17.27
104,Itaituba,BR,2022-07-05 16:59:40,-4.2761,-55.9836,89.76,58,20,5.75
105,Loandjili,CG,2022-07-05 16:59:41,-4.7561,11.8578,71.92,82,7,10.07
106,Port-Gentil,GA,2022-07-05 16:59:41,-0.7193,8.7815,76.96,78,75,13.8
107,Walvis Bay,NA,2022-07-05 16:59:42,-22.9575,14.5053,65.35,55,0,13.8
108,Qostanay,KZ,2022-07-05 16:59:42,53.1667,63.5833,55.69,82,75,6.71
109,Taybad,IR,2022-07-05 16:59:43,34.74,60.7756,78.64,26,1,27.47
110,Moree,AU,2022-07-05 16:59:43,-29.4667,149.85,48.22,93,100,2.3
111,Anloga,GH,2022-07-05 16:59:44,5.7947,0.8973,78.26,81,99,12.03
112,Gulariya,NP,2022-07-05 16:59:44,28.2333,81.3333,91.18,50,21,5.66
113,Morehead,US,2022-07-05 16:56:28,37.2711,-87.1764,93.78,58,40,4.61
114,Hilo,US,2022-07-05 16:59:45,19.7297,-155.09,82.27,90,78,3.0
115,High Level,CA,2022-07-05 16:55:34,58.5169,-117.136,64.51,63,40,6.91
116,Hun,LY,2022-07-05 16:59:45,29.1268,15.9477,95.05,19,0,20.92
117,Bethel,US,2022-07-05 16:56:08,41.3712,-73.414,85.05,54,95,1.99
118,Bredasdorp,ZA,2022-07-05 16:59:46,-34.5322,20.0403,54.19,72,80,2.64
119,Port Lincoln,AU,2022-07-05 16:59:46,-34.7333,135.8667,48.69,74,0,6.13
120,Bismarck,US,2022-07-05 16:56:22,46.8083,-100.7837,69.64,88,75,9.22
121,Pevek,RU,2022-07-05 16:59:47,69.7008,170.3133,45.27,73,100,19.3
122,Cape Town,ZA,2022-07-05 16:59:47,-33.9258,18.4232,57.61,83,20,9.22
123,Klaksvik,FO,2022-07-05 16:59:48,62.2266,-6.589,52.72,81,89,10.65
124,Mahebourg,MU,2022-07-05 16:55:09,-20.4081,57.7,70.09,64,75,9.22
125,Kodiak,US,2022-07-05 16:59:48,57.79,-152.4072,55.02,82,100,0.92
126,Mersing,MY,2022-07-05 16:59:49,2.4312,103.8405,76.91,94,40,5.75
127,Narsaq,GL,2022-07-05 16:59:49,60.9167,-46.05,45.72,99,100,5.39
128,Dzhebariki-Khaya,RU,2022-07-05 16:59:50,62.2167,135.8,71.44,80,34,2.89
129,Aksarka,RU,2022-07-05 16:59:50,66.5606,67.7975,57.94,94,100,5.7
130,Port Blair,IN,2022-07-05 16:59:51,11.6667,92.75,77.04,88,100,10.36
131,Margate,GB,2022-07-05 16:59:51,51.3813,1.3862,71.11,63,94,3.0
132,Geraldton,AU,2022-07-05 16:59:52,-28.7667,114.6,57.61,94,100,5.75
133,Isla Mujeres,MX,2022-07-05 16:59:53,21.2311,-86.731,87.85,69,93,7.65
134,Dikson,RU,2022-07-05 16:59:53,73.5069,80.5464,36.3,94,100,7.29
135,Buchanan,LR,2022-07-05 16:59:54,5.8808,-10.0467,79.95,74,48,7.56
136,Ashland,US,2022-07-05 16:58:52,40.8167,-82.2665,74.1,77,100,14.63
137,Shimoda,JP,2022-07-05 16:59:54,34.6667,138.95,75.11,92,95,7.65
138,Nisia Floresta,BR,2022-07-05 16:59:55,-6.0911,-35.2086,84.58,66,9,13.2
139,Tuktoyaktuk,CA,2022-07-05 16:59:55,69.4541,-133.0374,46.53,84,100,7.11
140,Cukai,MY,2022-07-05 16:59:56,4.25,103.4167,78.75,88,100,1.74
141,Abashiri,JP,2022-07-05 16:55:53,44.0213,144.2697,61.95,95,93,1.52
142,Fort Wellington,GY,2022-07-05 16:59:56,6.4,-57.6,84.99,63,94,5.23
143,Codrington,AU,2022-07-05 16:59:57,-38.2667,141.9667,41.27,95,7,7.23
144,Kralendijk,BQ,2022-07-05 16:59:57,12.15,-68.2667,80.31,82,82,17.47
145,Komsomolskiy,UZ,2022-07-05 16:59:58,40.4272,71.7189,79.52,27,16,4.61
146,Freeport,US,2022-07-05 16:59:58,40.6576,-73.5832,88.99,56,89,8.99
147,Lebu,CL,2022-07-05 16:59:59,-37.6167,-73.65,52.11,85,100,7.11
148,Smithers,CA,2022-07-05 16:59:59,54.7804,-127.1743,59.32,88,75,5.75
149,Piacabucu,BR,2022-07-05 17:00:00,-10.4056,-36.4344,79.0,67,6,11.83
150,Priiskovyy,RU,2022-07-05 17:00:00,51.9333,116.6333,68.68,56,100,4.9
151,Luderitz,NA,2022-07-05 17:00:01,-26.6481,15.1594,58.62,63,0,14.52
152,Fortuna,US,2022-07-05 17:00:02,40.5982,-124.1573,64.85,94,100,0.0
153,Waingapu,ID,2022-07-05 17:00:03,-9.6567,120.2641,73.17,77,62,9.57
154,Laguna,US,2022-07-05 17:00:03,38.421,-121.4238,79.02,67,45,3.0
155,Half Moon Bay,US,2022-07-05 16:57:19,37.4636,-122.4286,77.58,87,75,9.22
156,Hirado,JP,2022-07-05 17:00:04,33.3597,129.5531,78.39,92,100,7.47
157,Puerto Leguizamo,CO,2022-07-05 17:00:05,-0.1934,-74.7819,71.29,99,99,0.65
158,Toledo,ES,2022-07-05 16:57:43,39.8333,-4.0,101.1,7,0,15.9
159,Gillette,US,2022-07-05 17:00:06,44.2911,-105.5022,67.12,68,75,16.11
160,Leningradskiy,RU,2022-07-05 17:00:07,69.3833,178.4167,50.97,70,98,4.59
161,Sturgis,US,2022-07-05 16:55:10,41.7992,-85.4192,80.28,89,100,9.22
162,Erzin,TR,2022-07-05 17:00:10,36.9559,36.2,76.35,79,0,6.29
163,Rio Gallegos,AR,2022-07-05 16:56:00,-51.6226,-69.2181,26.65,93,40,4.61
164,Beringovskiy,RU,2022-07-05 17:00:12,63.05,179.3167,46.44,91,100,3.98
165,Souillac,MU,2022-07-05 17:00:12,-20.5167,57.5167,68.97,80,87,13.58
166,Dingle,PH,2022-07-05 17:00:13,10.9995,122.6711,76.21,90,99,2.33
167,Key West,US,2022-07-05 16:59:20,24.5557,-81.7826,87.8,66,0,5.75
168,Saint-Doulchard,FR,2022-07-05 17:00:15,47.1037,2.352,79.45,32,0,8.97
169,Qaanaaq,GL,2022-07-05 17:00:15,77.484,-69.3632,46.17,50,11,2.55
170,Ixtapa,MX,2022-07-05 17:00:16,20.7,-105.2,85.23,79,98,2.53
171,Rocha,UY,2022-07-05 17:00:17,-34.4833,-54.3333,59.2,71,11,7.43
172,Paidha,UG,2022-07-05 17:00:18,2.4167,30.9855,63.82,55,43,3.38
173,Mabaruma,GY,2022-07-05 17:00:19,8.2,-59.7833,85.06,66,19,5.55
174,East Foothills,US,2022-07-05 17:00:20,37.3811,-121.8175,78.62,64,75,1.01
175,Vao,NC,2022-07-05 17:00:21,-22.6667,167.4833,73.63,73,96,16.37
176,Praia Da Vitoria,PT,2022-07-05 17:00:22,38.7333,-27.0667,71.76,76,100,9.17
177,Kuching,MY,2022-07-05 17:00:23,1.55,110.3333,75.42,94,20,2.3
178,Kavieng,PG,2022-07-05 17:00:24,-2.5744,150.7967,81.57,82,100,13.22
179,Emba,KZ,2022-07-05 17:00:25,48.8264,58.1442,61.75,72,81,14.16
180,Jamestown,US,2022-07-05 16:55:37,42.097,-79.2353,75.02,83,100,11.5
181,Saint-Pierre,RE,2022-07-05 17:00:26,-21.3393,55.4781,68.92,78,75,6.91
182,Hurricane,US,2022-07-05 17:00:28,37.1753,-113.2899,90.7,28,2,8.08
183,Padang,ID,2022-07-05 17:00:29,-0.9492,100.3543,77.05,84,100,2.8
184,Cabo San Lucas,MX,2022-07-05 16:57:48,22.8909,-109.9124,94.6,75,71,3.0
185,Udachnyy,RU,2022-07-05 17:00:30,66.4167,112.4,59.29,68,100,2.91
186,Sao Mateus,BR,2022-07-05 17:00:31,-18.7161,-39.8589,78.91,56,39,8.93
187,Cabog,PH,2022-07-05 17:00:32,15.3153,121.3703,77.72,90,95,2.37
188,Maceio,BR,2022-07-05 17:00:06,-9.6658,-35.7353,78.24,83,75,11.5
189,Kutum,SD,2022-07-05 17:00:33,14.2,24.6667,83.35,33,88,8.95
190,Elizabeth City,US,2022-07-05 17:00:34,36.2946,-76.2511,90.05,59,99,1.01
191,Tiksi,RU,2022-07-05 17:00:35,71.6872,128.8694,41.22,71,74,4.63
192,Cabinda,AO,2022-07-05 17:00:36,-5.55,12.2,72.32,79,32,10.67
193,Quchan,IR,2022-07-05 17:00:37,37.106,58.5095,67.12,39,0,7.74
194,Harlingen,US,2022-07-05 16:58:06,26.1906,-97.6961,94.89,80,4,14.94
195,Mandera,KE,2022-07-05 17:00:38,3.9366,41.867,82.13,47,84,16.31
196,Kompaniyivka,UA,2022-07-05 17:00:39,48.2511,32.208,82.94,34,6,4.85
197,Palu,ID,2022-07-05 17:00:15,-0.8917,119.8707,76.03,96,100,2.98
198,Honningsvag,NO,2022-07-05 16:55:49,70.9821,25.9704,55.15,82,0,3.44
199,Cherskiy,RU,2022-07-05 17:00:40,68.75,161.3,56.73,92,100,8.99
200,Kaeo,NZ,2022-07-05 17:00:41,-35.1,173.7833,60.33,97,100,12.73
201,Plastunovskaya,RU,2022-07-05 17:00:42,45.2939,39.2669,85.89,41,1,4.14
202,Provideniya,RU,2022-07-05 17:00:43,64.3833,-173.3,46.44,97,100,5.1
203,Cape Girardeau,US,2022-07-05 17:00:43,37.3834,-89.7168,95.81,52,6,5.46
204,Atuona,PF,2022-07-05 17:00:44,-9.8,-139.0333,77.31,80,8,25.77
205,Esperance,AU,2022-07-05 17:00:45,-33.8667,121.9,56.01,83,99,3.62
206,Phrae,TH,2022-07-05 17:00:46,18.0833,100.0,72.59,96,100,2.89
207,La Raya De Santa Maria,PA,2022-07-05 17:00:47,8.1667,-80.8167,80.98,80,100,3.09
208,Tombouctou,ML,2022-07-05 17:00:48,20.0,-3.0,110.79,6,10,10.04
209,Saint George,US,2022-07-05 16:56:57,37.1041,-113.5841,92.43,17,12,1.99
210,Felipe Carrillo Puerto,MX,2022-07-05 17:00:50,19.5833,-88.05,86.74,66,86,5.17
211,Kahului,US,2022-07-05 17:00:49,20.8947,-156.47,77.85,83,89,11.99
212,Ponta Do Sol,PT,2022-07-05 17:00:51,32.6667,-17.1,73.71,67,30,2.91
213,Yinchuan,CN,2022-07-05 17:00:52,38.4681,106.2731,82.63,24,17,5.14
214,Isla Aguada,MX,2022-07-05 17:00:52,18.7833,-91.4667,83.62,67,78,2.73
215,Cairns,AU,2022-07-05 17:00:53,-16.9167,145.7667,63.07,88,100,8.05
216,Coquimbo,CL,2022-07-05 17:00:54,-29.9533,-71.3436,58.66,59,89,8.23
217,Vardo,NO,2022-07-05 17:00:55,70.3705,31.1107,49.98,100,100,5.75
218,Black River,JM,2022-07-05 17:00:57,18.0264,-77.8487,89.69,55,44,11.16
219,Oranjemund,NA,2022-07-05 17:00:58,-28.55,16.4333,55.58,70,0,9.95
220,Vila Franca Do Campo,PT,2022-07-05 17:00:59,37.7167,-25.4333,68.41,75,92,7.38
221,Nador,MA,2022-07-05 17:01:00,35.174,-2.9287,84.27,57,0,11.5
222,Biala Podlaska,PL,2022-07-05 16:59:43,52.0324,23.1165,62.78,97,100,13.8
223,Fountain Hills,US,2022-07-05 17:00:06,33.6117,-111.7174,94.66,20,7,5.99
224,Saint-Philippe,RE,2022-07-05 17:01:02,-21.3585,55.7679,67.59,81,54,11.72
225,Torbay,CA,2022-07-05 17:01:03,47.6666,-52.7314,71.89,46,96,11.68
226,Longyearbyen,SJ,2022-07-05 17:01:05,78.2186,15.6401,44.44,76,75,13.8
227,Byron Bay,AU,2022-07-05 17:01:00,-28.65,153.6167,56.95,95,100,3.94
228,Taoudenni,ML,2022-07-05 17:01:06,22.6783,-3.9836,116.29,4,66,17.83
229,Vigrestad,NO,2022-07-05 17:01:07,58.5667,5.7,57.88,74,64,22.48
230,Reinheim,DE,2022-07-05 17:01:08,49.8269,8.8361,83.44,42,50,6.29
231,Gawler,AU,2022-07-05 17:01:08,-34.6,138.7333,47.48,94,0,3.29
232,Kyaikto,MM,2022-07-05 17:01:09,17.3,97.0167,78.33,89,100,3.62
233,Ilulissat,GL,2022-07-05 17:01:10,69.2167,-51.1,51.82,71,75,12.66
234,Radishchevo,RU,2022-07-05 17:01:12,52.85,47.8833,56.5,74,93,4.79
235,Togur,RU,2022-07-05 17:01:12,58.3631,82.8265,61.43,73,76,11.05
236,Bria,CF,2022-07-05 17:01:14,6.5423,21.9863,71.78,90,73,3.4
237,Vostok,RU,2022-07-05 17:01:14,46.4856,135.8833,61.77,97,33,3.65
238,Bangkalan,ID,2022-07-05 17:01:15,-7.0455,112.7351,78.75,87,95,4.16
239,Calabozo,VE,2022-07-05 17:01:16,8.9242,-67.4293,89.37,53,86,3.71
240,Ushtobe,KZ,2022-07-05 17:01:17,45.2514,77.9838,67.89,49,100,18.59
241,Naze,JP,2022-07-05 17:01:18,28.3667,129.4833,77.41,89,16,12.71
242,Lleida,ES,2022-07-05 16:57:15,41.6167,0.6167,86.2,42,20,5.75
243,Hasaki,JP,2022-07-05 17:01:19,35.7333,140.8333,75.29,95,93,4.34
244,Danielskuil,ZA,2022-07-05 17:01:20,-28.1887,23.5395,57.4,49,69,13.78
245,Birao,CF,2022-07-05 17:01:21,10.2849,22.7882,74.01,85,75,3.98
246,Matipo,BR,2022-07-05 17:01:21,-20.2839,-42.3411,78.78,38,5,6.51
247,Emerald,AU,2022-07-05 17:01:22,-23.5333,148.1667,46.35,92,30,4.94
248,Rosarito,MX,2022-07-05 17:01:24,32.3333,-117.0333,75.42,72,32,7.07
249,Parati,BR,2022-07-05 17:01:25,-23.2178,-44.7131,84.99,37,9,3.74
250,Hays,US,2022-07-05 17:01:26,30.0502,-98.0336,92.66,55,15,4.0
251,Nikolskoye,RU,2022-07-05 17:01:27,59.7035,30.7861,71.49,61,52,10.98
252,Tres Arroyos,AR,2022-07-05 17:01:28,-38.3739,-60.2798,56.59,20,56,15.86
253,Bozhou,CN,2022-07-05 17:01:29,33.8772,115.7703,77.04,97,100,6.2
254,Tual,ID,2022-07-05 17:01:30,-5.6667,132.75,78.93,80,100,17.92
255,Goderich,CA,2022-07-05 16:56:43,43.7501,-81.7165,70.12,88,89,10.36
256,Khilok,RU,2022-07-05 17:01:30,51.3674,110.4676,54.77,81,100,4.09
257,Christchurch,NZ,2022-07-05 17:01:22,-43.5333,172.6333,44.91,76,100,10.36
258,Lasa,IT,2022-07-05 17:01:31,46.6166,10.7002,75.36,68,54,5.46
259,Constitucion,CL,2022-07-05 17:01:32,-35.3333,-72.4167,52.95,67,98,6.35
260,Seoul,KR,2022-07-05 16:57:12,37.5683,126.9778,80.2,89,75,3.44
261,Aripuana,BR,2022-07-05 17:01:34,-9.1667,-60.6333,93.52,28,2,3.69
262,Havelock,US,2022-07-05 16:59:18,34.8791,-76.9013,87.98,78,82,1.99
263,Tabou,CI,2022-07-05 17:01:35,4.423,-7.3528,78.91,76,86,9.42
264,Port Hardy,CA,2022-07-05 17:00:08,50.6996,-127.4199,57.06,87,96,0.98
265,Riachao Das Neves,BR,2022-07-05 17:01:36,-11.7461,-44.91,87.75,21,0,8.21
266,Pombas,CV,2022-07-05 17:01:37,17.1503,-25.0201,72.19,82,58,13.69
267,Denpasar,ID,2022-07-05 17:00:25,-8.65,115.2167,80.26,83,20,14.97
268,Santa Rosa,PH,2022-07-05 17:01:38,14.3122,121.1114,77.09,86,97,3.22
269,Sao Gabriel Da Cachoeira,BR,2022-07-05 17:00:20,-0.1303,-67.0892,87.42,57,93,3.74
270,Yulara,AU,2022-07-05 17:01:40,-25.2406,130.9889,42.37,37,0,5.95
271,Moshny,UA,2022-07-05 17:01:42,49.5147,31.7476,81.64,40,38,8.05
272,Yambio,SS,2022-07-05 17:00:16,4.5721,28.3955,68.9,93,99,3.47
273,Kamaris,AM,2022-07-05 17:01:43,40.2354,44.6946,68.95,67,1,14.16
274,Busing,PH,2022-07-05 17:01:44,13.1514,122.9714,81.05,81,93,7.34
275,Bud,US,2022-07-05 17:01:45,39.447,-86.1758,94.15,63,16,10.13
